iter	RMSE
412	0.6280155902
413	0.6259839841
414	0.624427191
415	0.6233884638
416	0.6226957808
417	0.6211589369
418	0.6191262675
419	0.6184965661
420	0.6179640164
421	0.6158201576
422	0.6145236626
423	0.6131189521
424	0.6128114623
425	0.6114043138
426	0.6089763614
427	0.6075237373
428	0.6063713381
429	0.60479044
430	0.6027285867
431	0.6019820424
432	0.6012695963
433	0.5992114645
434	0.597342393
435	0.5960530182
436	0.5955610459
437	0.593374919
438	0.5920876276
439	0.5914749425
440	0.5893096751
441	0.5873836095
442	0.5866584084
443	0.5861419156
444	0.5850399988
445	0.5839607693
446	0.5834294273
447	0.5825771761
448	0.5823075035
449	0.5801527971
450	0.5792825251
451	0.5782725088
452	0.5770284745
453	0.5759118101
454	0.5747676874
455	0.5737667131
456	0.5730645085
457	0.5707629336
458	0.5693787557
459	0.5676921349
460	0.5671964667
461	0.5664681151
462	0.5654716485
463	0.56457041
464	0.5632950459
465	0.562952951
466	0.5615494637
467	0.5609435229
468	0.5589591722
469	0.5570897104
470	0.5552186793
471	0.5530752325
472	0.5524067837
473	0.5512128283
474	0.5495486319
475	0.5490404226
476	0.547702884
477	0.5474557711
478	0.5470613247
479	0.5459247609
480	0.5456645074
481	0.5440297037
482	0.5427982505
483	0.5423509026
484	0.541348218
485	0.5394904357
486	0.5387663144
487	0.5374264182
488	0.5362545912
489	0.5355822331
490	0.5336076798
491	0.5323429602
492	0.5317001436
493	0.530337237
494	0.5292368798
495	0.5286526578
496	0.5279262332
497	0.5268250512
498	0.5250702131
499	0.5248323279
500	0.5241416447
501	0.5228653673
502	0.5207310885
503	0.5202362103
504	0.5196681589
505	0.5181783678
506	0.5175737607
507	0.5159295536
508	0.5149251315
509	0.5134861164
510	0.512241239
511	0.5109764498
512	0.5097029073
513	0.5091497677
514	0.5077589886
515	0.5068362508
516	0.5052943471
517	0.504752719
518	0.5035716248
519	0.5025023559
520	0.5022480681
521	0.501702655
522	0.5002734192
523	0.4990390591
524	0.4982851692
525	0.4980647395
526	0.4965215954
527	0.4960791447
528	0.4951087782
529	0.4935538105
530	0.4921940423
531	0.4909355114
532	0.4894960635
533	0.4885911016
534	0.4874046936
535	0.4860984871
536	0.4847316137
537	0.4839360923
538	0.4831757873
539	0.4826236069
540	0.48178035
541	0.4810614388
542	0.4794470685
543	0.4781789853
544	0.4773724015
545	0.4764557422
546	0.4759964574
547	0.4757535564
548	0.4750038816
549	0.4737955677
550	0.4727213719
551	0.4720159376
552	0.4708626408
553	0.4705906615
554	0.4703632049
555	0.4699839726
556	0.4695360929
557	0.4686474828
558	0.4680385489
559	0.4668797979
560	0.465991797
561	0.4643598892
562	0.4633489637
563	0.4621128919
564	0.4615032635
565	0.4610752312
566	0.4594220351
567	0.4592300941
568	0.458566704
569	0.4575011078
570	0.4559419632
571	0.4557486887
572	0.4554697646
573	0.4539598939
574	0.4527462381
575	0.4519574875
576	0.4515937184
577	0.450440108
578	0.4488925447
579	0.4475861068
580	0.4466608377
581	0.4464416155
582	0.4452142054
583	0.4446575789
584	0.4434970056
585	0.4431289917
586	0.4427881482
587	0.4420142878
588	0.4414854342
589	0.4406706797
590	0.4394658094
591	0.438871834
592	0.4374873262
593	0.4366377697
594	0.4361768809
595	0.4359861549
596	0.4353101185
597	0.4345228219
598	0.4340963549
599	0.4334292961
600	0.4319959966
601	0.4312350878
602	0.4301790254
603	0.429233563
604	0.4287529252
605	0.4277853519
606	0.4275533361
607	0.4273037528
608	0.4269147622
609	0.4261996737
610	0.4252011284
611	0.4248138121
612	0.4236544762
613	0.4226621256
614	0.42153993
615	0.4201251587
616	0.4194388867
617	0.4191226946
618	0.4183386793
619	0.4169249485
620	0.4158362377
621	0.4152523067
622	0.4138582746
623	0.4133891681
624	0.412368358
625	0.4117492274
626	0.410449823
627	0.4093396225
628	0.4090304139
629	0.4088420867
630	0.4077391639
631	0.4071404691
632	0.4066196697
633	0.4056581787
634	0.4046437849
635	0.4041525161
636	0.4028512112
637	0.4022130076
638	0.4017285593
639	0.4006740549
640	0.4002908186
641	0.399978547
642	0.3994799053
643	0.398515367
644	0.3978252179
645	0.3970446625
646	0.3967155435
647	0.3963350422
648	0.3956210753
649	0.3953978169
650	0.3948037278
651	0.3944722053
652	0.3941138711
653	0.3930831931
654	0.392769495
655	0.3923505139
656	0.3913416084
657	0.3909999646
658	0.3906632102
659	0.3901125821
660	0.3899381031
661	0.3897487272
662	0.3887660536
663	0.3884780542
664	0.3878685812
665	0.3875732567
666	0.3868631483
667	0.385853227
668	0.3851285073
669	0.3842559767
670	0.3833439478
671	0.3831690983
672	0.382218979
673	0.381306991
674	0.3803399351
675	0.3801898547
676	0.3797627258
677	0.3789580354
678	0.3787766751
679	0.3777183967
680	0.3768254564
681	0.3759743846
682	0.3754854932
683	0.3747728362
684	0.3743687602
685	0.3741692241
686	0.37339907
687	0.3723545199
688	0.372045414
689	0.3715622823
690	0.3710489108
691	0.370881013
692	0.3699329934
693	0.3696227636
694	0.3689643398
695	0.3683038797
696	0.3681514198
697	0.3680114598
698	0.3678649224
699	0.3666558758
700	0.3664428783
701	0.3661397924
702	0.3653087989
703	0.3648300367
704	0.364523077
705	0.364382206
706	0.3634524422
707	0.3631318377
708	0.3626939744
709	0.3621057364
710	0.3616849996
711	0.3609566277
712	0.3606627597
713	0.3600188
714	0.3592190264
715	0.3583106184
716	0.3575199091
717	0.3573459505
718	0.35704865
719	0.3560206293
720	0.3551150653
721	0.3540575124
722	0.3536739837
723	0.3532486674
724	0.3523061442
725	0.351396517
726	0.3508810396
727	0.3507302394
728	0.3501882226
729	0.3497695576
730	0.3492048025
731	0.3490533606
732	0.3481702464
733	0.3475003676
734	0.3462521802
735	0.3458768595
736	0.3448266739
737	0.3444267623
738	0.3433570602
739	0.342971822
740	0.3428191124
741	0.3426963444
742	0.3418637992
743	0.3416552895
744	0.3408268986
745	0.3401958374
746	0.3398586316
747	0.3395279749
748	0.3389636865
749	0.3384632693
750	0.3381354954
751	0.3378585949
752	0.3374525145
753	0.3366566652
754	0.3362548468
755	0.3359383183
756	0.3355267839
757	0.3347541347
758	0.3344878629
759	0.3342510204
760	0.3339962025
761	0.3335483027
762	0.3334308197
763	0.3331287173
764	0.3326280762
765	0.3322726131
766	0.3317052733
767	0.3309491778
768	0.3301010877
769	0.3294758827
770	0.3286292384
771	0.3283444247
772	0.3281093459
773	0.3272607382
774	0.327138617
775	0.3268026307
776	0.3258475478
777	0.3250614686
778	0.3247350741
779	0.323862212
780	0.3236410195
781	0.322640912
782	0.322035557
783	0.3219067212
784	0.3217588537
785	0.3209799758
786	0.320620812
787	0.3198801864
788	0.3190372357
789	0.3189272119
790	0.3185733157
791	0.3181646286
792	0.3173455309
793	0.3162152912
794	0.3154431461
795	0.3150733588
796	0.3144382727
797	0.3137678191
798	0.3136445436
799	0.3132859137
800	0.312935254
801	0.3127172956
802	0.3120699218
803	0.3117520529
804	0.3112094805
805	0.3106648291
806	0.3105802275
807	0.3104232227
808	0.3102915643
809	0.3095960534
810	0.3087104323
811	0.3085953143
812	0.3083974749
813	0.3080770455
814	0.3079679465
815	0.3076411484
816	0.3075332536
817	0.3072417053
818	0.3069448043
819	0.3062963143
820	0.3056302014
821	0.3054678771
822	0.3051504379
823	0.3044676652
824	0.3043004273
825	0.3038394969
826	0.3033784692
827	0.3030761395
828	0.3027801727
829	0.3023684814
830	0.3016758937
831	0.3014113761
832	0.3011525581
833	0.3008860768
834	0.3003419966
835	0.3002351453
836	0.2996402745
837	0.2993644498
838	0.2989766236
839	0.2984527341
840	0.2974111231
841	0.2971656333
842	0.2962761823
843	0.295632959
844	0.2950592406
845	0.2943015727
846	0.2937853282
847	0.2931986914
848	0.2928370776
849	0.2924979648
850	0.2919595261
851	0.2917258199
852	0.2915009164
853	0.290307579
854	0.2900819652
855	0.2893666009
856	0.2887792707
857	0.288579229
858	0.2879368943
859	0.2876876206
860	0.2872865958
861	0.2865753483
862	0.2858634419
863	0.2855174198
864	0.2848699955
865	0.284685155
866	0.2838187098
867	0.2833620998
868	0.2828262341
869	0.2827229349
870	0.2825291097
871	0.2821839055
872	0.2816935693
873	0.2815282555
874	0.2812731575
875	0.2809428199
876	0.2806398981
877	0.2800641092
878	0.2795491084
879	0.2794145049
880	0.278943262
881	0.2783084123
882	0.2781635536
883	0.2779978433
884	0.2778742716
885	0.2774216561
886	0.2772146997
887	0.2771178197
888	0.2763138735
889	0.2762218593
890	0.2759647766
891	0.2755354884
892	0.2748281822
893	0.2746368302
894	0.2741286358
895	0.2737743899
896	0.2731578061
897	0.2729078678
898	0.2727891392
899	0.272642869
900	0.272141965
901	0.2717245105
902	0.2714416899
903	0.271360475
904	0.271263451
905	0.270821796
906	0.2706831388
907	0.2702944301
908	0.2697150127
909	0.269264116
910	0.2686599119
911	0.2682236868
912	0.2679266984
913	0.2668544313
914	0.2666967201
915	0.2666012363
916	0.26598411
917	0.2659040771
918	0.2657946249
919	0.2654910347
920	0.2651515817
921	0.2647480972
922	0.2645587987
923	0.2641836903
924	0.2635894556
925	0.2634507627
926	0.2627536254
927	0.2621740532
928	0.2613995931
929	0.2611931126
930	0.2605947629
931	0.2597316026
932	0.2595853023
933	0.2593341596
934	0.2588579604
935	0.2585034955
936	0.2582360903
937	0.2575757821
938	0.2574858351
939	0.257126821
940	0.2565869574
941	0.2560140606
942	0.2555622991
943	0.2550705858
944	0.2548206118
945	0.2545729256
946	0.2540526651
947	0.2535396152
948	0.2529380562
949	0.2528644273
950	0.2526329914
951	0.2523736692
952	0.2519166183
953	0.251357012
954	0.2506734988
955	0.2501909024
956	0.2495647304
957	0.2492030042
958	0.2490800236
959	0.2488203696
960	0.2483486674
961	0.248249433
962	0.2480245123
963	0.2475482062
964	0.2469774266
965	0.246220852
966	0.2457689285
967	0.2454480423
968	0.2450040025
969	0.2447174748
970	0.2441985366
971	0.2440893906
972	0.2434807992
973	0.2430676982
974	0.2427369152
975	0.2422921125
976	0.2418629228
977	0.2417018101
978	0.2412968307
979	0.2412127331
980	0.2409255814
981	0.2403569243
982	0.2399956507
983	0.239540548
984	0.2393305026
985	0.2390182162
986	0.2386317045
987	0.2381194493
988	0.2379287637
989	0.2376278805
990	0.2374922378
991	0.2372890144
992	0.2369696672
993	0.2368662668
994	0.2364073889
995	0.2362692059
996	0.2358960964
997	0.2350711497
998	0.2348335146
999	0.2346664431
0.2205819781
999	0.2201324546
